household_id,household_position,pm,research_rating,st,largest_gift
10001,PR,A,"N2 - $500,000 to $1M/Suspected",TX,"$100,000.00 "
10002,PR,A,"N2 - $500,000 to $1M/Suspected",TX,"$100,000.00 "
10003,PR,A,"P2 - $100,000 to $249,999/Susp",TX,$100.00 
10004,PR,A,L2 - $2.5M to $5M/Suspected,TX,"$155,000.00 "
10005,PR,A,M2 - $1M to $2.5M/Suspected,TX,$500.00 
10005,SP,A,M2 - $1M to $2.5M/Suspected,TX,$500.00 
10006,PR,A,M2 - $1M to $2.5M/Suspected,TX,"$750,000.00 "
10007,PR,A,M1 - $1M to $2.5M/Qualified,TX,"$20,011.50 "
10007,SP,A,M1 - $1M to $2.5M/Qualified,TX,"$20,011.50 "
10008,PR,A,"P1 - $100,000 to $249,999/Qual",TX,"$5,000.00 "
10008,SP,A,"P1 - $100,000 to $249,999/Qual",TX,"$5,000.00 "
10009,SP,A,"N2 - $500,000 to $1M/Suspected",TX,$300.00 
10010,PR,A,"N2 - $500,000 to $1M/Suspected",TX,$100.00 
10010,SP,A,"N2 - $500,000 to $1M/Suspected",TX,
10011,PR,A,"P1 - $100,000 to $249,999/Qual",TX,"$60,054.00 "
10011,SP,A,"P1 - $100,000 to $249,999/Qual",TX,"$60,054.00 "
10012,PR,A,"P1 - $100,000 to $249,999/Qual",TX,$500.00 
10012,SP,A,"P1 - $100,000 to $249,999/Qual",TX,$500.00 
10013,PR,A,"P1 - $100,000 to $249,999/Qual",TX,"$100,000.00 "
10013,SP,A,"P1 - $100,000 to $249,999/Qual",TX,"$100,000.00 "
10014,PR,A,"O1 - $250,000 to $499,999/Qual",TX,"$2,501.00 "
10014,SP,A,"O1 - $250,000 to $499,999/Qual",TX,
10015,PR,A,"Q2 - $50,000 to $99,999/Suspec",TX,"$1,000,000.00 "
10016,PR,A,M1 - $1M to $2.5M/Qualified,TX,$20.00 
10016,SP,A,M1 - $1M to $2.5M/Qualified,TX,
10017,PR,A,"P1 - $100,000 to $249,999/Qual",TX,"$2,500.00 "
10017,SP,A,"P1 - $100,000 to $249,999/Qual",TX,"$2,500.00 "
10018,PR,A,"P1 - $100,000 to $249,999/Qual",TX,"$2,000.00 "
10018,SP,A,"P1 - $100,000 to $249,999/Qual",TX,"$2,000.00 "
10019,PR,A,"P2 - $100,000 to $249,999/Susp",TX,$500.00 
10019,SP,A,"P2 - $100,000 to $249,999/Susp",TX,$500.00 
10020,PR,A,M1 - $1M to $2.5M/Qualified,IN,"$10,029.28 "
10020,SP,A,M1 - $1M to $2.5M/Qualified,IN,"$10,029.28 "
10021,PR,A,M1 - $1M to $2.5M/Qualified,TX,"$100,000.00 "
10021,SP,A,M1 - $1M to $2.5M/Qualified,TX,"$5,500.00 "
10022,SP,A,"R2 - $25,000 to $49,999/Suspec",NY,"$1,000.00 "
10023,PR,A,K2 - $5M to $7.5M/Suspected,TX,$0.00 
10023,SP,A,K2 - $5M to $7.5M/Suspected,TX,$0.00 
10024,PR,A,"O1 - $250,000 to $499,999/Qual",TX,"$2,000,000.00 "
10025,PR,A,"O1 - $250,000 to $499,999/Qual",TX,$500.00 
10025,SP,A,"O1 - $250,000 to $499,999/Qual",TX,$500.00 
10026,PR,A,"R1 - $25,000 to $49,999/Qualif",TX,"$1,500.00 "
10026,SP,A,"R1 - $25,000 to $49,999/Qualif",TX,"$1,500.00 "
10027,PR,A,"N2 - $500,000 to $1M/Suspected",DC,$100.00 
10027,SP,A,"N2 - $500,000 to $1M/Suspected",DC,
10028,PR,A,Not Rated,TX,$350.00 
10029,PR,A,"O1 - $250,000 to $499,999/Qual",TX,"$1,500.00 "
10029,SP,A,"O1 - $250,000 to $499,999/Qual",TX,"$1,500.00 "
10030,SP,A,Not Rated,TX,$500.00 
10031,PR,A,"P2 - $100,000 to $249,999/Susp",CA,
10031,SP,A,Not Rated,CA,
10032,PR,A,M1 - $1M to $2.5M/Qualified,TX,"$800,000.00 "
10032,SP,A,M1 - $1M to $2.5M/Qualified,TX,"$800,000.00 "
10030,PR,A,Not Rated,TX,$500.00 
10033,PR,A,"O1 - $250,000 to $499,999/Qual",TX,"$25,000.00 "
10033,SP,A,"O1 - $250,000 to $499,999/Qual",TX,"$25,000.00 "
10034,PR,A,"Q2 - $50,000 to $99,999/Suspec",TX,"$35,000.00 "
10034,SP,A,"Q2 - $50,000 to $99,999/Suspec",TX,"$35,000.00 "
10035,SP,A,"O1 - $250,000 to $499,999/Qual",TX,
10036,PR,A,"R2 - $25,000 to $49,999/Suspec",TX,$250.00 
10037,PR,A,"P2 - $100,000 to $249,999/Susp",TX,"$12,000.00 "
10038,PR,A,"O1 - $250,000 to $499,999/Qual",CA,"$250,000.00 "
10038,SP,A,"O1 - $250,000 to $499,999/Qual",CA,"$250,000.00 "
10039,PR,A,"O2 - $250,000 to $499,999/Susp",TX,"$1,000,000.00 "
10040,PR,A,L1 - $2.5M to $5M/Qualified,KS,"$100,000.00 "
10040,SP,A,L1 - $2.5M to $5M/Qualified,KS,"$100,000.00 "
10041,PR,A,"S1 - $10,000 to $24,999/Qualif",TX,"$1,013.25 "
10041,SP,A,"S1 - $10,000 to $24,999/Qualif",TX,"$1,013.25 "
10042,PR,A,"P1 - $100,000 to $249,999/Qual",TX,"$1,250.00 "
10042,SP,A,"P1 - $100,000 to $249,999/Qual",TX,"$1,250.00 "
