pm_full,pm_last,household_id,household_position,actual_date,contact_method,owner_full,owner_last
Fundraiser C,C,10001,PR,11/25/2019,Mail,Fundraiser C,C
Fundraiser C,C,10001,SP,11/25/2019,Mail,Fundraiser C,C
Fundraiser C,C,10001,PR,5/31/2019,E-mail,Fundraiser C,C
Fundraiser C,C,10001,PR,4/23/2019,Committee/Board Meeting,Other Fundraiser,Other
Fundraiser C,C,10001,PR,1/18/2019,Mail,Other Fundraiser,Other
Fundraiser C,C,10001,PR,1/4/2019,E-mail,Other Fundraiser,Other
Fundraiser C,C,10001,PR,12/12/2018,Event,Other Fundraiser,Other
Fundraiser C,C,10001,PR,12/10/2018,Committee/Board Meeting,Other Fundraiser,Other
Fundraiser C,C,10001,PR,11/26/2018,Mail,Other Fundraiser,Other
Fundraiser C,C,10001,PR,11/19/2018,Mail,Other Fundraiser,Other
Fundraiser C,C,10001,PR,11/12/2018,Mail,Other Fundraiser,Other
Fundraiser C,C,10001,PR,10/30/2018,Committee/Board Meeting,Other Fundraiser,Other
Fundraiser C,C,10001,PR,9/7/2018,Invitation,Other Fundraiser,Other
Fundraiser C,C,10001,PR,8/29/2018,Mail,Other Fundraiser,Other
Fundraiser C,C,10001,PR,5/14/2018,Committee/Board Meeting,Other Fundraiser,Other
Fundraiser C,C,10001,PR,4/24/2018,Committee/Board Meeting,Other Fundraiser,Other
Fundraiser C,C,10001,PR,2/15/2018,,Other Fundraiser,Other
Fundraiser C,C,10001,PR,1/23/2018,Committee/Board Meeting,Other Fundraiser,Other
Fundraiser C,C,10001,PR,1/8/2018,Mail,Other Fundraiser,Other
Fundraiser C,C,10001,PR,11/13/2017,Event,Other Fundraiser,Other
Fundraiser C,C,10001,PR,10/16/2017,Committee/Board Meeting,Other Fundraiser,Other
Fundraiser C,C,10001,PR,10/3/2017,Committee/Board Meeting,Other Fundraiser,Other
Fundraiser C,C,10001,PR,10/3/2017,Committee/Board Meeting,Other Fundraiser,Other
Fundraiser C,C,10001,PR,9/11/2017,Mail,Other Fundraiser,Other
Fundraiser C,C,10001,SP,9/11/2017,Mail,Other Fundraiser,Other
Fundraiser C,C,10001,PR,8/21/2017,Personal Visit,Other Fundraiser,Other
Fundraiser C,C,10001,PR,4/25/2017,Committee/Board Meeting,Other Fundraiser,Other
Fundraiser C,C,10001,PR,1/24/2017,Committee/Board Meeting,Other Fundraiser,Other
Fundraiser C,C,10001,SP,12/22/2016,Mail,Other Fundraiser,Other
Fundraiser C,C,10001,PR,11/28/2016,Dean/Faculty Visit,Other Fundraiser,Other
Fundraiser C,C,10001,PR,11/17/2016,Non-SMU Event,Other Fundraiser,Other
Fundraiser C,C,10001,PR,10/4/2016,Committee/Board Meeting,Other Fundraiser,Other
Fundraiser C,C,10001,PR,9/21/2016,Committee/Board Meeting,Other Fundraiser,Other
Fundraiser C,C,10001,PR,9/15/2016,SMU Event,Other Fundraiser,Other
Fundraiser C,C,10001,SP,9/15/2016,SMU Event,Other Fundraiser,Other
Fundraiser A,A,10002,PR,4/19/2018,Task,Other Fundraiser,Other
Fundraiser A,A,10002,PR,4/12/2018,E-mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,4/12/2018,Task,Other Fundraiser,Other
Fundraiser A,A,10002,PR,4/6/2018,E-mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,3/26/2018,E-mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,3/5/2018,Phone Call,Other Fundraiser,Other
Fundraiser A,A,10002,PR,2/4/2015,E-mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,10/6/2014,Task,Other Fundraiser,Other
Fundraiser A,A,10002,PR,10/1/2014,,Other Fundraiser,Other
Fundraiser A,A,10002,PR,4/8/2014,E-mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,3/10/2014,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,3/6/2014,Phone Call,Other Fundraiser,Other
Fundraiser A,A,10002,PR,1/27/2014,E-mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,11/25/2013,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,11/22/2013,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,11/21/2013,Phone Call,Other Fundraiser,Other
Fundraiser A,A,10002,PR,11/15/2012,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,9/28/2012,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,8/29/2012,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,10/15/2011,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,8/23/2011,Task,Other Fundraiser,Other
Fundraiser A,A,10002,PR,3/31/2010,Personal Visit,Other Fundraiser,Other
Fundraiser A,A,10002,PR,3/25/2010,Personal Visit,Other Fundraiser,Other
Fundraiser A,A,10002,PR,7/2/2009,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,6/5/2009,Mail,Other Fundraiser,Other
Fundraiser A,A,10002,PR,12/12/2008,Mail,Other Fundraiser,Other
