rating,rating_value
A1 - $200M plus/Qualified,200000000
A2 - $200M plus/Suspected,200000000
B1 - $150M to $200M/Qualified,150000000
B2 - $150M to $200M/Suspected,150000000
C1 - $100M to $150M/Qualified,100000000
C2 - $100M to $150M/Suspected,100000000
D1 - $75M to $100M/Qualified,75000000
D2 - $75M to $100M/Suspected,75000000
E1 - $50M to $75M/Qualified,50000000
E2 - $50M to $75M/Suspected,50000000
F1 - $25M to $50M/Qualified,25000000
F2 - $25M to $50M/Suspected,25000000
G1 - $20M to $25M/Qualified,20000000
G2 - $20M to $25M/Suspected,20000000
H1 - $15M to $20M/Qualified,15000000
H2 - $15M to $20M/Suspected,15000000
I1 - $10M to $15M/Qualified,10000000
I2 - $10M to $15M/Suspected,10000000
J1 - $7.5M to $10M/Qualified,7000000
J2 - $7.5M to $10M/Suspected,7000000
K1 - $5M to $7.5M/Qualified,5000000
K2 - $5M to $7.5M/Suspected,5000000
L1 - $2.5M to $5M/Qualified,2500000
L2 - $2.5M to $5M/Suspected,2500000
M1 - $1M to $2.5M/Qualified,1000000
M2 - $1M to $2.5M/Suspected,1000000
"N1 - $500,000 to $1M/Qualified",500000
"N2 - $500,000 to $1M/Suspected",500000
"O1 - $250,000 to $499,999/Qual",250000
"O2 - $250,000 to $499,999/Susp",250000
"O3 - $250,000-$499,999/NotLkly",250000
"P1 - $100,000 to $249,999/Qual",100000
"P2 - $100,000 to $249,999/Susp",100000
"Q1 - $50,000 to $99,999/Qualif",50000
"Q2 - $50,000 to $99,999/Suspec",50000
"R1 - $25,000 to $49,999/Qualif",25000
"R2 - $25,000 to $49,999/Suspec",25000
"S1 - $10,000 to $24,999/Qualif",10000
"S2 - $10,000 to $24,999/Suspec",10000
"T1 - Less than $10,000/Qualifi",1
"T2 - Less than $10,000/Suspect",1
XX - Not a Prospect,0
